"AND1_AL_S67","AND1_AY_S72","AND2_AL_S68","AND2_AY_S73","AND3_AL_S69","AND3_AY_S74","AND4_AL_S70","AND4_AY_S75","AND5_AL_S71","AND5_AY_S76"
121,0,0,0,0,0,0,0,0,0
0,0,0,39,0,0,0,0,0,0
0,0,0,0,0,0,0,0,21,0
0,0,0,20,0,22,0,0,0,0
0,0,0,0,0,116,0,0,0,0
0,0,0,0,31,0,0,0,0,0
0,0,0,134,0,0,0,0,0,0
0,0,0,0,0,27,0,0,0,0
0,0,0,0,0,0,0,284,0,0
0,0,0,0,0,0,0,127,0,0
0,0,0,15,0,0,0,0,0,0
0,0,13,0,0,0,0,0,0,0
0,0,0,37,0,73,0,0,0,0
0,0,0,0,58,0,0,0,0,0
0,0,0,0,47,0,0,0,0,0
0,0,0,0,15,0,0,0,0,0
0,41,0,0,0,0,0,0,0,0
52,0,0,0,115,0,28,0,0,0
0,192,0,0,0,0,0,0,0,0
0,0,0,33,0,5,0,0,0,0
0,0,0,0,8,0,0,0,0,0
38,0,24,0,52,0,51,92,0,0
0,0,0,22,0,0,0,0,0,0
0,0,26,29,0,0,17,0,0,0
0,14,0,15,5,0,0,27,0,0
0,0,0,0,0,0,0,8,0,0
10,0,12,0,0,0,0,0,0,0
8,0,0,0,0,0,11,10,0,0
0,0,0,0,0,0,7,0,0,0
0,0,0,14,0,0,0,0,0,0
0,0,0,0,0,13,0,0,0,0
0,0,0,0,16,0,0,0,0,0
0,0,0,0,0,13,0,0,0,0
0,0,0,0,54,0,0,0,0,0
23,0,5,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0
0,0,0,0,13,0,17,0,0,0
0,0,0,0,13,0,0,0,0,0
0,0,0,0,9,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
104,0,0,6,0,19,0,7,0,0
0,0,4,0,14,0,0,0,0,0
0,0,0,0,0,0,0,6,0,0
14,0,0,14,0,0,44,0,0,0
0,12,0,0,0,0,0,0,0,0
0,0,54,74,7,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,14,0,0,0
0,0,0,0,25,0,0,0,0,0
0,0,0,71,0,0,0,0,0,0
55,0,0,0,0,0,87,0,0,0
69,0,0,0,0,0,0,0,0,0
122,0,0,0,0,26,0,0,0,0
85,0,0,0,0,0,0,0,0,0
0,0,0,19,0,14,0,0,0,0
0,0,0,0,0,0,0,8,0,0
0,0,29,87,0,0,0,22,0,0
0,0,0,9,19,0,0,0,0,0
