"","AND1_AL_S67","AND1_AY_S72","AND2_AL_S68","AND2_AY_S73","AND3_AL_S69","AND3_AY_S74","AND4_AL_S70","AND4_AY_S75","AND5_AL_S71","AND5_AY_S76"
"d__Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium",0,0,0,0,0,52,0,0,0,0
"d__Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus",54,27,0,0,0,0,0,0,36,0
"d__Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Micrococcaceae; Yaniella",0,0,0,0,0,6,0,0,0,0
"d__Bacteria; Actinobacteriota; Coriobacteriia; Coriobacteriales; Eggerthellaceae; Enterorhabdus",25,0,0,92,0,8,11,0,0,0
"d__Bacteria; Actinobacteriota; Coriobacteriia; Coriobacteriales; uncultured; uncultured",59,0,33,0,0,16,11,7,0,19
"d__Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides",15,0,0,49,23,123,18,10,24,431
"d__Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidales_BS11_gut_group; Bacteroidales_BS11_gut_group",52,1687,0,1765,0,3130,232,769,0,0
"d__Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidales_RF16_group; Bacteroidales_RF16_group",1406,1026,1934,0,78,403,2065,297,401,16
"d__Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; F082; F082",4117,4811,3157,1884,2737,453,860,6531,7344,6014
"d__Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Marinifilaceae; Butyricimonas",9,0,5,0,0,0,0,15,7,0
"d__Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Marinifilaceae; Odoribacter",0,0,0,0,0,17,0,0,0,0
"d__Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Marinifilaceae; Sanguibacteroides",0,0,0,0,0,13,0,0,0,0
"d__Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Marinifilaceae; uncultured",71,0,288,26,74,0,8,15,0,0
"d__Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; Muribaculaceae",18042,4407,16523,12493,3120,11798,7595,4843,15535,6045
"d__Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; p-251-o5; p-251-o5",7207,27,5136,0,15,0,0,1726,1935,162
"d__Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Paludibacteraceae; uncultured",0,0,0,0,6,0,27,0,0,0
"d__Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Alloprevotella",8,774,0,114,0,11605,314,0,0,0
"d__Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella",3658,5397,5668,3276,228,4304,7234,1915,11343,2161
"d__Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotellaceae_Ga6A1_group",0,0,195,1074,0,0,0,341,329,96
"d__Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotellaceae_NK3B31_group",0,21,12,0,0,68,7,14,0,179
