"","AND1_AL_S67","AND1_AY_S72","AND2_AL_S68","AND2_AY_S73","AND3_AL_S69","AND3_AY_S74","AND4_AL_S70","AND4_AY_S75","AND5_AL_S71","AND5_AY_S76"
"d__Bacteria; Actinobacteriota",138,27,33,92,0,82,22,7,36,19
"d__Bacteria; Bacteroidota",42670,29833,45470,32464,10287,37204,23655,23873,43127,23642
"d__Bacteria; Campilobacterota",141,10486,140,343,74,11914,56,870,270,999
"d__Bacteria; Cyanobacteria",88,3474,9,713,112,2372,88,126,41,1376
"d__Bacteria; Deferribacterota",3,11,0,0,2,12,27,43,0,0
"d__Bacteria; Desulfobacterota",777,640,87,1194,310,869,450,1969,272,1779
"d__Bacteria; Elusimicrobiota",17,449,72,0,413,42,6,35,58,13
"d__Bacteria; Fibrobacterota",206,5,253,21,29,62,140,13,0,0
"d__Bacteria; Firmicutes",59291,23465,36957,38375,16654,35341,19450,36002,31852,46360
"d__Bacteria; Patescibacteria",72,0,26,15,0,0,25,8,0,11
"d__Bacteria; Planctomycetota",0,0,0,15,13,0,4,0,8,19
"d__Bacteria; Proteobacteria",823,482,291,1067,260,292,203,130,375,1537
"d__Bacteria; Spirochaetota",8369,5139,8255,4255,952,2075,3136,8491,0,0
"d__Bacteria; Synergistota",1892,372,156,7614,3766,2118,406,6329,570,35
"d__Bacteria; Verrucomicrobiota",115,10947,604,445,37,856,157,803,86,1558
"d__Bacteria; WPS-2",0,0,0,0,0,0,4,0,0,0
