sample_name	platform	qiita_prep_id	run_prefix	Group
#q2:types	categorical	categorical	categorical	categorical
12802.10249.C001.01SS	Illumina	7898	10249.C001.01SS	junk
12802.10249.C001.10SS	Illumina	7898	10249.C001.10SS	junk
12802.10249.C001.18SS	Illumina	7898	10249.C001.18SS	junk
12802.10249.C001.19SS	Illumina	7898	10249.C001.19SS	junk
12802.10249.C001.20SS	Illumina	7898	10249.C001.20SS	junk
12802.10249.C001.34SD	Illumina	7898	10249.C001.34SD	junk
12802.10249.C001.34SS	Illumina	7898	10249.C001.34SS	junk
12802.10249.C002.01SS	Illumina	7898	10249.C002.01SS	junk
12802.10249.C002.01SS.r	Illumina	7898	10249.C002.01SS.r	junk
12802.10249.C002.08SS	Illumina	7898	10249.C002.08SS	junk
12802.10249.C002.13SS	Illumina	7898	10249.C002.13SS	junk
12802.10249.C002.19SD	Illumina	7898	10249.C002.19SD	junk
12802.10249.C002.19SS	Illumina	7898	10249.C002.19SS	junk
12802.10249.C004.01SS	Illumina	7898	10249.C004.01SS	junk
12802.10249.C004.07SS	Illumina	7898	10249.C004.07SS	junk
12802.10249.C004.15SS	Illumina	7898	10249.C004.15SS	junk
12802.10249.C005.01SS	Illumina	7898	10249.C005.01SS	junk
12802.10249.C005.01SS.r	Illumina	7898	10249.C005.01SS.r	junk
12802.10249.C005.08SS	Illumina	7898	10249.C005.08SS	junk
12802.10249.C005.14SS	Illumina	7898	10249.C005.14SS	junk
12802.10249.C005.20SS	Illumina	7898	10249.C005.20SS	junk
12802.10249.C007.01SS	Illumina	7898	10249.C007.01SS	junk
12802.10249.C007.08SS	Illumina	7898	10249.C007.08SS	junk
12802.10249.C007.17SS	Illumina	7898	10249.C007.17SS	junk
12802.10249.C007.23SD	Illumina	7898	10249.C007.23SD	junk
12802.10249.C007.23SS	Illumina	7898	10249.C007.23SS	junk
12802.10249.C008.01SS	Illumina	7898	10249.C008.01SS	junk
12802.10249.C008.06SS	Illumina	7898	10249.C008.06SS	junk
12802.10249.C008.07SS	Illumina	7898	10249.C008.07SS	junk
