"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"9e53a677b12cf1d5f73d7227ea5e7b89","Bacteria","SR1",NA,NA,NA,NA,NA
"ce34506b9e1764bc5450be33a81c7b1a","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter",NA
"f73160a94abee0441ab5a573877744d2","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter",NA
"914d665720e41337748116b656be6270","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","ureolyticus"
"690754306aeed53ec9ffe767151681cb","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter",NA
"1516918080ce0a63f2e1ac6251ba1282","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter",NA
"b7a041d2927c03859714fcdd60b9dc7e","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter",NA
"4f3e4d6a8a9cb34f1cc87190e7090474","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Flexispira",NA
"b47963636d61fa55608e193ec130b06f","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Flexispira",NA
"3306a33a45fc76e149023917fc34e940","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Flexispira",NA
"d8964a5831bdda4381d56fcf8c64d8e6","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Flexispira",NA
"08abb59ac58551dc412c89950eff1e3e","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Flexispira",NA
"552192c318175bc576feba2f23169dbe","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Flexispira",NA
"4e9b3c8dd9808d6a78936ceaf96dc0d5","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","pylori"
"597cfc237da9da5d6dbaea741cdf521b","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter",NA
"6b7959401b0e45436c996fb54db6cf85","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae",NA,NA
"9c17823c7919f8d76e87d44091368610","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae",NA,NA
"dee2ebd8e10e0fe543fe68669e7cba4d","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA
"616bc005db100d193a1ab4e592d546f6","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteibacter","rhizovicinus"
"74b7dc5aa537fcaf4d0046dc7715b9bf","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","maltophilia"
"53bc90e1c93440a53d0bf5ae8b456b1a","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas","mexicana"
"f283cd6d309acf7626b1fbc0079d275d","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas","campestris"
"9695acecaba71cc9fc1458080b07d1fa","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","geniculata"
"c46ea926fbc76b59f4e67df0d74b0960","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","geniculata"
"62cb0ed0f2cba6fd1ab5d2a374c15bb1","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA
"596c1c5efe777a8d8aafbca19fe37e1d","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA
"de478a19bf7c5ab5e75d3dfcb742f4d2","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"15b372f1a4d29b52f09a41ac60b01b00","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","paradoxus"
"2ae062f25a3b10f0dabfc4b0a3c5bc62","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas",NA
"7e60707559c22526e0b33a5e4c026bc2","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas",NA
"5b31cc2016f451f58bffda2a0ec54ad8","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",NA
"e9d4ea2d7367c433249df0a62a2c830b","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga",NA
"0299ebb0a63d82f90fc73acdd2b03e10","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax",NA
"8951cc9103140b71bd50c0932e096502","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","defluvii"
"ad8991870b8bdd236d97d01487ddadc6","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax",NA
"7c95e987c206eef1f0be34c8e8b3b12c","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"abfa9d60a135501a6f8ea749b93200fb","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas",NA
"06f0e4354ef1822cf027413d9c4a7096","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax",NA
"685bbc73786ccf30b0355552f3fd823f","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"424b714a183447fb6bb57b464e0d5f37","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"c99c4c951e6f4745973043285ccf486b","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Petrobacter","succinatimandens"
"77ccaab9e313c51a463ea3b11485eb32","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Petrobacter","succinatimandens"
"711fc3773e54c66b3b6defa1f4ddc5fa","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Hydrogenophilus",NA
"75a5999048000b7e178036f0e75e4dd4","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA
"a51b62113b7c9d4febf6956e86e5dfd0","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Rubrivivax",NA
"c82e3c0f6645a196621e06d5240d9ece","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"c23afa8f877c26b65dd962edfddf2283","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"91bda678d5cea404019a6e269fc865b9","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"d0c34b21c7c96271a1bc5f7fe82df3a0","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Zoogloea",NA
"594de23e3fd972a2867119ed1a8ae9ad","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"37a29f631c8c0eb67de690bb00a18cc2","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"4acc36d268585bc3834e627756313b21","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"90e427df120ab07ffbd57703f11c1a4f","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"59597cd430deea6d8e0908dcd6db7e50","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"ceefb8fade04925c7bbfad924171a220","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"bd5cee1545f1fccaa518c9abc7e7d71f","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"284575f2d71d467e233832b5e22e8378","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"52ccc2a3aa3caf88752ec9412025f883","Bacteria","Proteobacteria","Betaproteobacteria","Procabacteriales","Procabacteriaceae",NA,NA
"fdcd6808ef8269653d25dce4a55a025d","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","subflava"
"538edc06c5d2436e74690ce0eeff0d5b","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria",NA
"3f6c45001fd40e8b6f9d0558539fd820","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","subflava"
"64cafef490dba614d4c6998cfae3bae1","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Eikenella",NA
"b4021f8239ddf1d667f541813bce6564","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae",NA,NA
"df9539d6b14413754b1d77d4eb36f793","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae",NA,NA
"c79f4725cd4d3aee747768baec21ab77","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia",NA
"f4909ad74d5b44aa7c3694798c21ea87","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","bryophila"
"b6985598d3f4a9b830bbe1c6a665f5fe","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"a4deea89c4abac0d1c9d57ba858fb91b","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"ca8962d9c935f3e11ec6295f50018092","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"f2e3fb2bc5f97f8db9cad096a91a93d7","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"6a17479edbe461431433bddb084f731e","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"f52a12416e929c8101dee15c0bf3b2cb","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"15c25306012f3ca1a0b0f4ced43c1da4","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"9748f8fd448797c11f81c02a835cf408","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"b26b70ce8c6093ed4749071a3181a937","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"239906d30e4c5cd08fbbfc032da6106e","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"27e73e4a281e8eff6f35d07426b8b3ff","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"755d2b5e6fe1ecaaf4073090d713a899","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"03569e3fd843f501355f7853b0ec9361","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"3f11f9f226ab63cc1ff6bfeee9699b79","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"04b0877cd54e4ee47c275b7f5cda45a8","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Ralstonia",NA
